Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz),S121577 (FW 3.022) (125 Hz)
Legacy RMS
,K-Push (M122648),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0,0.659150004386902,0.000000000000000,0.000000000000000,0.000000000000000
0.002,0.643649995326996,0.000000000000000,0.000000000000000,0.000000000000000
0.004,0.645550012588501,0.000000000000000,0.000000000000000,0.000000000000000
0.006,0.705950021743774,0.000000000000000,0.000000000000000,0.000000000000000
0.008,0.664749979972839,0.000000000000000,0.000000000000000,0.000000000000000
0.01,0.671549975872040,0.000000000000000,0.000000000000000,0.000000000000000
0.012,0.703450024127960,0.000000000000000,0.000000000000000,0.000000000000000
0.014,0.676649987697601,0.000000000000000,0.000000000000000,0.000000000000000
0.016,0.668349981307983,0.000000000000000,0.000000000000000,0.000000000000000
0.018,0.665650010108948,0.000000000000000,0.000000000000000,0.000000000000000
0.02,0.654449999332428,0.000000000000000,0.000000000000000,0.000000000000000
0.022,0.670449972152710,0.000000000000000,0.000000000000000,0.000000000000000
0.024,0.671050012111664,0.000000000000000,0.000000000000000,0.000000000000000
0.026,0.681450009346008,0.000000000000000,0.000000000000000,0.000000000000000
0.028,0.652050018310547,0.000000000000000,0.000000000000000,0.000000000000000
0.03,0.650849997997284,0.000000000000000,0.000000000000000,0.000000000000000
0.032,0.630349993705750,0.000000000000000,0.000000000000000,0.000000000000000
0.034,0.644450008869171,0.000000000000000,0.000000000000000,0.000000000000000
0.036,0.653050005435944,0.000000000000000,0.000000000000000,0.000000000000000
0.038,0.646950006484985,0.000000000000000,0.000000000000000,0.000000000000000
0.04,0.640150010585785,0.000000000000000,0.000000000000000,0.000000000000000
0.042,0.649249970912933,0.000000000000000,0.000000000000000,0.000000000000000
0.044,0.646950006484985,0.000000000000000,0.000000000000000,0.000000000000000
0.046,0.628650009632111,0.000000000000000,0.000000000000000,0.000000000000000
0.048,0.631950020790100,0.000000000000000,0.000000000000000,0.000000000000000
0.05,0.631550014019012,0.000000000000000,0.000000000000000,0.000000000000000
0.052,0.653750002384186,0.000000000000000,0.000000000000000,0.000000000000000
0.054,0.650749981403351,0.000000000000000,0.000000000000000,0.000000000000000
0.056,0.634850025177002,0.000000000000000,0.000000000000000,0.000000000000000
0.058,0.606450021266937,0.000000000000000,0.000000000000000,0.000000000000000
0.06,0.641049981117249,0.000000000000000,0.000000000000000,0.000000000000000
0.062,0.659150004386902,0.000000000000000,0.000000000000000,0.000000000000000
0.064,0.646449983119965,0.000000000000000,0.000000000000000,0.000000000000000
0.066,0.630249977111816,0.000000000000000,0.000000000000000,0.000000000000000
0.068,0.636049985885620,0.000000000000000,0.000000000000000,0.000000000000000
0.07,0.642449975013733,0.000000000000000,0.000000000000000,0.000000000000000
0.072,0.620649993419647,0.000000000000000,0.000000000000000,0.000000000000000
0.074,0.606750011444092,0.000000000000000,0.000000000000000,0.000000000000000
0.076,0.640349984169006,0.000000000000000,0.000000000000000,0.000000000000000
0.078,0.643949985504150,0.000000000000000,0.000000000000000,0.000000000000000
