Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,S121577 (FW 3.022) (125 Hz),M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz)
Legacy RMS
K-Move (S121578) Quaternion de base (x-y-z-w),-0.576,-0.184,0.255,0.755
K-Move (S121577) Quaternion de base (x-y-z-w),-0.385,0.520,-0.705,0.289
,K-Move (S121578),,,,,K-Move (S121577),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0.168,-0.578083158476960,-0.184912145349588,0.241371539456988,0.757166252867351,,-0.406476406862619,0.515885365388221,-0.698050518369900,0.285134700001310,
0.176,-0.578046303148586,-0.184879600046150,0.241460448261001,0.757188470905421,,-0.406410964553942,0.516001846412710,-0.697981915620126,0.285223163979961,
0.184,-0.577982393670893,-0.184878681073883,0.241550802360479,0.757215225289730,,-0.406320718171469,0.516095062715766,-0.697923126322917,0.285315637237874,
0.192,-0.577927290141185,-0.184880578955236,0.241614318849224,0.757222998520520,,-0.406174465068152,0.516194672940321,-0.697872980142267,0.285411646052848,
0.2,-0.577895475111880,-0.184880164143841,0.241705331795843,0.757221299560413,,-0.405959701539022,0.516345826968780,-0.697840515365455,0.285532924943549,
0.208,-0.577867419069650,-0.184850433446257,0.241767398672816,0.757224526113343,,-0.405742367591661,0.516493706590543,-0.697834146472427,0.285621874260275,
0.216,-0.577836446362572,-0.184789251226649,0.241797727079891,0.757254449328959,,-0.405529988854514,0.516617372917610,-0.697836297798563,0.285683791817211,
0.224,-0.577830391897974,-0.184695760629901,0.241856229840047,0.757277033091599,,-0.405316947798830,0.516770715840493,-0.697806792517148,0.285775762306170,
0.232,-0.577800537824844,-0.184573900214686,0.241917544147126,0.757308421598453,,-0.405161814633564,0.516950585875108,-0.697710862168766,0.285926562315597,
0.24,-0.577713151124827,-0.184453158235523,0.241980326215993,0.757374921894603,,-0.405042963236597,0.517107291220683,-0.697563819371527,0.286142467096620,
0.248,-0.577624128242168,-0.184362411301893,0.242042424107816,0.757439279275234,,-0.404983315234539,0.517231139909190,-0.697413618669154,0.286357079641724,
0.256,-0.577555476391862,-0.184237908109785,0.242100269179215,0.757520847291879,,-0.404982223627521,0.517351820266295,-0.697228627053078,0.286600456826379,
0.264,-0.577463008261614,-0.184085026204104,0.242160922236334,0.757611202837679,,-0.405014854348793,0.517446074559851,-0.697018631487610,0.286876620516815,
0.272,-0.577348530165012,-0.183995892185477,0.242225144514203,0.757682205222896,,-0.405073608610420,0.517504195073223,-0.696862109471131,0.287088633782733,
0.28,-0.577257854324563,-0.183935135501673,0.242286550646720,0.757744396776345,,-0.405103667667063,0.517595163751197,-0.696678207435868,0.287332456764005,
0.288,-0.577197662372294,-0.183904886239911,0.242347942520932,0.757776024782110,,-0.405161714256957,0.517682898383607,-0.696489955014483,0.287574482784220,
0.296,-0.577137468094853,-0.183874636204933,0.242409333672329,0.757807650058871,,-0.405248429870278,0.517737752296804,-0.696329047695619,0.287784674574645,
0.304,-0.577104841921237,-0.183843446204840,0.242438966907578,0.757835401088745,,-0.405285188859994,0.517806762002073,-0.696156659870884,0.287972217024315,
0.312,-0.577074350832089,-0.183812936435648,0.242438978423508,0.757865955587989,,-0.405287096245211,0.517870236158508,-0.696037861751847,0.288126165335169,
0.32,-0.577009612665917,-0.183781239089975,0.242467941642286,0.757922130986304,,-0.405254157450590,0.517928180291736,-0.695972668172355,0.288246518346323,
0.328,-0.576949927495977,-0.183781669578459,0.242499027975828,0.757954424717804,,-0.405104122322801,0.517992486679592,-0.695977061139934,0.288309374987457,
0.336,-0.576890240974987,-0.183782099727629,0.242530114004561,0.757986717192813,,-0.404862525494338,0.518087308366643,-0.696011967165979,0.288372230016282,
0.344,-0.576823880055574,-0.183780403454561,0.242558393666034,0.758040757457298,,-0.404614512252950,0.518234954937950,-0.696035841073543,0.288430514052092,
0.352,-0.576766324633516,-0.183781512616701,0.242559857568506,0.758075850780282,,-0.404425044454752,0.518379399721433,-0.696024901062446,0.288517534732511,
0.36,-0.576710384785555,-0.183752618235372,0.242562001284627,0.758113069188652,,-0.404367676557595,0.518475657134866,-0.695909141776817,0.288672743589305,
