Kinvent Physio 2.23.0_ota_4,Version BLE : 5,Appareils: ,M122648 (FW 3.022) (500 Hz),S121578 (FW 3.022) (125 Hz),S121577 (FW 3.022) (125 Hz)
Legacy RMS
,K-Push (M122648),,,
temps (seconde),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4
0,0.556800007820129,0.000000000000000,0.000000000000000,0.000000000000000
0.002,0.544300019741058,0.000000000000000,0.000000000000000,0.000000000000000
0.004,0.520399987697601,0.000000000000000,0.000000000000000,0.000000000000000
0.006,0.526700019836426,0.000000000000000,0.000000000000000,0.000000000000000
0.008,0.497900009155273,0.000000000000000,0.000000000000000,0.000000000000000
0.01,0.510599970817566,0.000000000000000,0.000000000000000,0.000000000000000
0.012,0.484299987554550,0.000000000000000,0.000000000000000,0.000000000000000
0.014,0.507899999618530,0.000000000000000,0.000000000000000,0.000000000000000
0.016,0.514500021934509,0.000000000000000,0.000000000000000,0.000000000000000
0.018,0.520299971103668,0.000000000000000,0.000000000000000,0.000000000000000
0.02,0.495499998331070,0.000000000000000,0.000000000000000,0.000000000000000
0.022,0.482899993658066,0.000000000000000,0.000000000000000,0.000000000000000
0.024,0.483900010585785,0.000000000000000,0.000000000000000,0.000000000000000
0.026,0.504700005054474,0.000000000000000,0.000000000000000,0.000000000000000
0.028,0.502600014209747,0.000000000000000,0.000000000000000,0.000000000000000
0.03,0.512499988079071,0.000000000000000,0.000000000000000,0.000000000000000
0.032,0.526000022888184,0.000000000000000,0.000000000000000,0.000000000000000
0.034,0.504899978637695,0.000000000000000,0.000000000000000,0.000000000000000
0.036,0.464199990034103,0.000000000000000,0.000000000000000,0.000000000000000
0.038,0.517300009727478,0.000000000000000,0.000000000000000,0.000000000000000
0.039900000005960466,0.509899973869324,0.000000000000000,0.000000000000000,0.000000000000000
0.04190000000596046,0.490799993276596,0.000000000000000,0.000000000000000,0.000000000000000
0.04390000000596046,0.489399999380112,0.000000000000000,0.000000000000000,0.000000000000000
0.045900000005960465,0.475899994373322,0.000000000000000,0.000000000000000,0.000000000000000
0.047900000005960466,0.488099992275238,0.000000000000000,0.000000000000000,0.000000000000000
0.04990000000596046,0.495200008153915,0.000000000000000,0.000000000000000,0.000000000000000
0.05190000000596046,0.476700007915497,0.000000000000000,0.000000000000000,0.000000000000000
0.053900000005960465,0.453299999237061,0.000000000000000,0.000000000000000,0.000000000000000
0.05590000000596047,0.473500013351440,0.000000000000000,0.000000000000000,0.000000000000000
0.05790000000596046,0.489800006151199,0.000000000000000,0.000000000000000,0.000000000000000
0.06,0.480599999427795,0.000000000000000,0.000000000000000,0.000000000000000
0.062,0.467900007963181,0.000000000000000,0.000000000000000,0.000000000000000
0.064,0.492199987173080,0.000000000000000,0.000000000000000,0.000000000000000
0.066,0.450700014829636,0.000000000000000,0.000000000000000,0.000000000000000
0.068,0.480699986219406,0.000000000000000,0.000000000000000,0.000000000000000
0.07,0.488200008869171,0.000000000000000,0.000000000000000,0.000000000000000
0.072,0.459500014781952,0.000000000000000,0.000000000000000,0.000000000000000
0.074,0.459600001573563,0.000000000000000,0.000000000000000,0.000000000000000
0.076,0.481099992990494,0.000000000000000,0.000000000000000,0.000000000000000
0.078,0.483599990606308,0.000000000000000,0.000000000000000,0.000000000000000
0.08,0.472000002861023,0.000000000000000,0.000000000000000,0.000000000000000
0.082,0.492700010538101,0.000000000000000,0.000000000000000,0.000000000000000
0.084,0.477200001478195,0.000000000000000,0.000000000000000,0.000000000000000
0.086,0.474700003862381,0.000000000000000,0.000000000000000,0.000000000000000
0.088,0.465799987316132,0.000000000000000,0.000000000000000,0.000000000000000
0.09,0.476200014352798,0.000000000000000,0.000000000000000,0.000000000000000
0.092,0.479499995708466,0.000000000000000,0.000000000000000,0.000000000000000
0.094,0.495499998331070,0.000000000000000,0.000000000000000,0.000000000000000
0.096,0.486000001430511,0.000000000000000,0.000000000000000,0.000000000000000
0.098,0.436100006103516,0.000000000000000,0.000000000000000,0.000000000000000
0.1,0.470600008964539,0.000000000000000,0.000000000000000,0.000000000000000
0.102,0.500999987125397,0.000000000000000,0.000000000000000,0.000000000000000
0.104,0.488799989223480,0.000000000000000,0.000000000000000,0.000000000000000
0.106,0.474099993705750,0.000000000000000,0.000000000000000,0.000000000000000
0.108,0.484499990940094,0.000000000000000,0.000000000000000,0.000000000000000
0.11,0.486400008201599,0.000000000000000,0.000000000000000,0.000000000000000
0.112,0.492700010538101,0.000000000000000,0.000000000000000,0.000000000000000
0.114,0.486999988555908,0.000000000000000,0.000000000000000,0.000000000000000
0.116,0.454800009727478,0.000000000000000,0.000000000000000,0.000000000000000
0.118,0.468600004911423,0.000000000000000,0.000000000000000,0.000000000000000
0.12,0.475699990987778,0.000000000000000,0.000000000000000,0.000000000000000
0.122,0.451400011777878,0.000000000000000,0.000000000000000,0.000000000000000
0.124,0.475899994373322,0.000000000000000,0.000000000000000,0.000000000000000
0.126,0.469799995422363,0.000000000000000,0.000000000000000,0.000000000000000
0.128,0.469700008630753,0.000000000000000,0.000000000000000,0.000000000000000
0.13,0.473800003528595,0.000000000000000,0.000000000000000,0.000000000000000
0.132,0.498899996280670,0.000000000000000,0.000000000000000,0.000000000000000
0.134,0.480699986219406,0.000000000000000,0.000000000000000,0.000000000000000
0.136,0.473100006580353,0.000000000000000,0.000000000000000,0.000000000000000
0.138,0.503199994564056,0.000000000000000,0.000000000000000,0.000000000000000
0.14,0.486000001430511,0.000000000000000,0.000000000000000,0.000000000000000
0.142,0.477499991655350,0.000000000000000,0.000000000000000,0.000000000000000
0.144,0.474599987268448,0.000000000000000,0.000000000000000,0.000000000000000
0.146,0.457800000905991,0.000000000000000,0.000000000000000,0.000000000000000
0.148,0.436800003051758,0.000000000000000,0.000000000000000,0.000000000000000
0.15,0.418300002813339,0.000000000000000,0.000000000000000,0.000000000000000
0.152,0.449900001287460,0.000000000000000,0.000000000000000,0.000000000000000
0.154,0.452499985694885,0.000000000000000,0.000000000000000,0.000000000000000
0.156,0.448900014162064,0.000000000000000,0.000000000000000,0.000000000000000
0.158,0.447299987077713,0.000000000000000,0.000000000000000,0.000000000000000
0.16,0.448100000619888,0.000000000000000,0.000000000000000,0.000000000000000
0.162,0.463800013065338,0.000000000000000,0.000000000000000,0.000000000000000
0.164,0.488099992275238,0.000000000000000,0.000000000000000,0.000000000000000
0.166,0.466600000858307,0.000000000000000,0.000000000000000,0.000000000000000
0.168,0.485599994659424,0.000000000000000,0.000000000000000,0.000000000000000
0.17,0.487800002098083,0.000000000000000,0.000000000000000,0.000000000000000
0.172,0.463699996471405,0.000000000000000,0.000000000000000,0.000000000000000
0.174,0.448900014162064,0.000000000000000,0.000000000000000,0.000000000000000
0.176,0.468699991703033,0.000000000000000,0.000000000000000,0.000000000000000
0.178,0.459399998188019,0.000000000000000,0.000000000000000,0.000000000000000
0.18,0.489600002765656,0.000000000000000,0.000000000000000,0.000000000000000
0.182,0.480300009250641,0.000000000000000,0.000000000000000,0.000000000000000
0.184,0.488599985837936,0.000000000000000,0.000000000000000,0.000000000000000
0.186,0.430400013923645,0.000000000000000,0.000000000000000,0.000000000000000
0.188,0.453000009059906,0.000000000000000,0.000000000000000,0.000000000000000
0.19,0.476399987936020,0.000000000000000,0.000000000000000,0.000000000000000
0.192,0.476300001144409,0.000000000000000,0.000000000000000,0.000000000000000
0.194,0.509999990463257,0.000000000000000,0.000000000000000,0.000000000000000
0.196,0.525499999523163,0.000000000000000,0.000000000000000,0.000000000000000
0.198,0.497000008821487,0.000000000000000,0.000000000000000,0.000000000000000
0.2,0.493400007486343,0.000000000000000,0.000000000000000,0.000000000000000
0.202,0.477999985218048,0.000000000000000,0.000000000000000,0.000000000000000
0.204,0.486600011587143,0.000000000000000,0.000000000000000,0.000000000000000
0.206,0.510800004005432,0.000000000000000,0.000000000000000,0.000000000000000
0.208,0.506200015544891,0.000000000000000,0.000000000000000,0.000000000000000
0.21,0.506600022315979,0.000000000000000,0.000000000000000,0.000000000000000
0.212,0.477400004863739,0.000000000000000,0.000000000000000,0.000000000000000
0.214,0.524999976158142,0.000000000000000,0.000000000000000,0.000000000000000
0.216,0.522400021553040,0.000000000000000,0.000000000000000,0.000000000000000
0.218,0.485799998044968,0.000000000000000,0.000000000000000,0.000000000000000
0.22,0.478500008583069,0.000000000000000,0.000000000000000,0.000000000000000
0.222,0.473399996757507,0.000000000000000,0.000000000000000,0.000000000000000
0.224,0.497500002384186,0.000000000000000,0.000000000000000,0.000000000000000
0.226,0.494199991226196,0.000000000000000,0.000000000000000,0.000000000000000
0.228,0.483999997377396,0.000000000000000,0.000000000000000,0.000000000000000
0.23,0.491400003433228,0.000000000000000,0.000000000000000,0.000000000000000
0.232,0.507200002670288,0.000000000000000,0.000000000000000,0.000000000000000
0.234,0.506299972534180,0.000000000000000,0.000000000000000,0.000000000000000
0.236,0.504100024700165,0.000000000000000,0.000000000000000,0.000000000000000
0.238,0.510299980640411,0.000000000000000,0.000000000000000,0.000000000000000
0.24,0.512799978256226,0.000000000000000,0.000000000000000,0.000000000000000
0.242,0.517199993133545,0.000000000000000,0.000000000000000,0.000000000000000
0.244,0.528699994087219,0.000000000000000,0.000000000000000,0.000000000000000
0.246,0.495799988508224,0.000000000000000,0.000000000000000,0.000000000000000
0.248,0.519500017166138,0.000000000000000,0.000000000000000,0.000000000000000
0.25,0.526799976825714,0.000000000000000,0.000000000000000,0.000000000000000
0.252,0.496899992227554,0.000000000000000,0.000000000000000,0.000000000000000
0.254,0.509899973869324,0.000000000000000,0.000000000000000,0.000000000000000
0.256,0.528100013732910,0.000000000000000,0.000000000000000,0.000000000000000
0.258,0.517599999904633,0.000000000000000,0.000000000000000,0.000000000000000
0.26,0.489499986171722,0.000000000000000,0.000000000000000,0.000000000000000
0.262,0.501100003719330,0.000000000000000,0.000000000000000,0.000000000000000
0.264,0.520799994468689,0.000000000000000,0.000000000000000,0.000000000000000
0.266,0.488400012254715,0.000000000000000,0.000000000000000,0.000000000000000
0.268,0.500899970531464,0.000000000000000,0.000000000000000,0.000000000000000
0.27,0.525499999523163,0.000000000000000,0.000000000000000,0.000000000000000
0.272,0.530700027942657,0.000000000000000,0.000000000000000,0.000000000000000
0.274,0.476799994707108,0.000000000000000,0.000000000000000,0.000000000000000
0.276,0.504199981689453,0.000000000000000,0.000000000000000,0.000000000000000
0.278,0.536199986934662,0.000000000000000,0.000000000000000,0.000000000000000
0.28,0.555499970912933,0.000000000000000,0.000000000000000,0.000000000000000
0.282,0.556699991226196,0.000000000000000,0.000000000000000,0.000000000000000
0.284,0.553200006484985,0.000000000000000,0.000000000000000,0.000000000000000
0.286,0.581200003623962,0.000000000000000,0.000000000000000,0.000000000000000
0.288,0.578100025653839,0.000000000000000,0.000000000000000,0.000000000000000
0.29,0.546400010585785,0.000000000000000,0.000000000000000,0.000000000000000
0.292,0.530700027942657,0.000000000000000,0.000000000000000,0.000000000000000
0.294,0.561500012874603,0.000000000000000,0.000000000000000,0.000000000000000
0.296,0.563600003719330,0.000000000000000,0.000000000000000,0.000000000000000
0.298,0.556699991226196,0.000000000000000,0.000000000000000,0.000000000000000
0.3,0.557799994945526,0.000000000000000,0.000000000000000,0.000000000000000
0.302,0.582499980926514,0.000000000000000,0.000000000000000,0.000000000000000
0.304,0.579800009727478,0.000000000000000,0.000000000000000,0.000000000000000
0.306,0.574599981307983,0.000000000000000,0.000000000000000,0.000000000000000
0.308,0.579599976539612,0.000000000000000,0.000000000000000,0.000000000000000
